population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,16,Philippines,3,Both,1,<5 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,2063.8854073740763,2470.606820183,1577.4400674124063
1,All Population,1,Deaths,16,Philippines,3,Both,1,<5 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.038648220606451934,0.046584086749178466,0.030974150786271328
1,All Population,1,Deaths,16,Philippines,3,Both,1,<5 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,20.502490631498315,24.54283217660103,15.670177272594621
1,All Population,1,Deaths,16,Philippines,3,Both,2,0-6 days,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,1255.200502487584,1513.162969067815,1010.0868903523103
1,All Population,1,Deaths,16,Philippines,3,Both,2,0-6 days,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.06642606995626679,0.07630229563680475,0.05684317997875911
1,All Population,1,Deaths,16,Philippines,3,Both,2,0-6 days,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,3343.437356082531,4030.5637120091387,2690.5360820046058
1,All Population,1,Deaths,16,Philippines,3,Both,3,7-27 days,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,281.2297610356758,358.41452058217084,208.62007748230445
1,All Population,1,Deaths,16,Philippines,3,Both,3,7-27 days,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.05590568062637423,0.06633826338512089,0.044708055945633866
1,All Population,1,Deaths,16,Philippines,3,Both,3,7-27 days,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,251.01266041696832,319.9042022156046,186.20461956935043
1,All Population,1,Deaths,16,Philippines,3,Both,6,5-9 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,69.05239806977903,109.49156782922233,25.915959866855726
1,All Population,1,Deaths,16,Philippines,3,Both,6,5-9 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.010972611397002105,0.017653465144149574,0.004405540497233604
1,All Population,1,Deaths,16,Philippines,3,Both,6,5-9 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,0.6158661024303728,0.9765358917706543,0.2311398537935448
1,All Population,1,Deaths,16,Philippines,3,Both,7,10-14 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,48.74630172012338,78.91895362761295,19.716613096536605
1,All Population,1,Deaths,16,Philippines,3,Both,7,10-14 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.008561084958252266,0.013525604187145162,0.0033683599578019654
1,All Population,1,Deaths,16,Philippines,3,Both,7,10-14 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,0.41105123727393256,0.6654809162600062,0.16625955041092055
1,All Population,1,Deaths,16,Philippines,3,Both,8,15-19 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,45.23327126798377,71.34937848673069,18.001174404131866
1,All Population,1,Deaths,16,Philippines,3,Both,8,15-19 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.005739820233919378,0.009340879018906779,0.0022322680694421173
1,All Population,1,Deaths,16,Philippines,3,Both,8,15-19 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,0.407648777500687,0.6430109098949114,0.16222918514883056
1,All Population,1,Deaths,16,Philippines,3,Both,9,20-24 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,54.64391256155214,90.56837803558844,21.134052351856756
1,All Population,1,Deaths,16,Philippines,3,Both,9,20-24 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.005070451182716137,0.008213331832536247,0.0019492060397396475
