name,pm25_exposure_ugm3,agriculture_pct,energy_coal_pct,energy_noncoal_pct,industry_coal_pct,industry_noncoal_pct,nonroad_transport_pct,road_transport_pct,residential_coal_pct,residential_biofuel_pct,residential_other_pct,commercial_pct,other_combustion_pct,solvent_pct,waste_pct,intl_shipping_pct,ag_waste_burning_pct,other_open_fire_pct,afcid_dust_pct,windblown_dust_pct,remaining_sources_pct,deaths_gbd2019crf,deaths_gemm,energy_total_pct
Central_Asia,27.5,5.1,6.1,4.8,2.1,4.8,0.2,5.3,0.5,9.2,0.3,0.4,0.4,0,6.1,0.2,0.4,1.8,4,44.3,3.9,60999,75492,10.9
Armenia,31.9,12.8,5.2,4.6,1.3,8.2,0.2,9,1,5.1,0.3,1.3,0.8,-0.2,2.2,0.3,0.7,1.1,6.3,35.7,4.2,3037,3644,9.8
Azerbaijan,23.9,8,3.2,5.4,0.7,4.9,0.2,7.2,0.4,7.3,0.4,0.6,0.7,-0.1,2.4,0.2,0.6,1,5,49.1,2.9,7590,8630,8.6
Baku,31.5,5.4,2.7,4.9,0.5,3.6,0.2,5.5,0.2,6.7,0.3,0.4,0.5,-0.1,2.3,0.1,0.4,0.9,4.2,58.5,2.6,-,-,7.6
Georgia,17.8,8.4,5.7,3.3,2.1,5.2,0.2,7.4,0.8,8.3,0.2,1,0.6,-0.1,2.8,0.4,1.4,2.2,6.6,38.2,5.1,3162,3543,9.0
Kazakhstan,19,4.5,5.3,5,3,6,0.2,5.1,0.4,3.8,0.7,0.4,0.3,0,4.3,0.3,1,3.8,5.7,43.2,7,9606,10602,10.3
Shymkent,38.1,3.4,4.3,4.8,2.4,3.9,0.2,4.9,0.6,6.5,0.9,0.4,0.3,0.1,6.4,0.4,0.3,1.5,5.3,48.8,4.7,-,-,9.1
Kyrgyzstan,22.9,3.9,7.4,4.2,2.7,5.1,0.2,6.6,0.6,10.7,0.2,0.3,0.2,-0.1,7.8,0.1,0.2,1.4,2.9,41.7,4.1,2378,3228,11.6
Mongolia,36.7,13.1,10.5,4.7,5.3,4.7,0.7,3.7,2.8,8.6,-1.2,0.8,1.3,0.2,3,0.4,0.8,10.4,6.2,17.8,6.3,1989,2885,15.2
Ulaanbaatar,81.4,13.5,12.8,4.7,5.9,4.9,0.7,3.5,3.1,8.9,-1.3,0.7,1.3,0.2,3.4,0.4,0.7,8.2,6.4,15,6.8,-,-,17.5
Tajikistan,35.9,3.6,6.2,4.3,1.3,3.4,0.1,4.5,0.5,24,0.1,0.1,0.3,-0.1,7.1,0.2,0,0.5,2.5,37.9,3.5,4459,7288,10.5
Turkmenistan,25.5,4.2,2.3,4.3,0.4,3.7,0.1,5.1,0.1,2,0.2,0.3,0.2,-0.1,2.1,0.1,0.2,0.9,2.3,70.2,1.3,3462,3728,6.6
Uzbekistan,32.5,3.6,7.1,5,2.2,4.7,0.2,4.8,0.4,8.1,0.4,0.3,0.3,0,8.5,0.3,0.2,1,3.4,46.5,3.2,25316,31945,12.1
Bukhara,26.6,2.8,4.5,5.4,0.7,2.8,0.1,3.5,0.1,2.2,0.2,0.2,0.2,-0.1,4.6,0.1,0.2,1,2.6,67.3,1.7,-,-,9.9
Tashkent,50.8,3.6,6.9,5,4.3,7.2,0.2,5.6,0.4,6.2,0.6,0.3,0.3,0.2,11.2,0.4,0.3,1.1,4.2,38.2,4,-,-,11.9
Central_Europe,20.5,18.6,10.7,5.7,1.7,4.8,0.7,7.7,3.6,15.8,0.5,1.6,2.1,-0.1,1.5,1.1,1,0.8,6.9,8.4,6.8,92306,100703,16.4
Albania,19.8,12.8,11.6,2.5,1.4,4.2,0.9,6.6,0.9,10.4,0.6,2.6,1.4,-0.2,2.8,1.5,2,2.1,7.1,20.7,8.3,1580,1774,14.1
Bosnia_and_Herzegovina,29.8,16,17.8,4.2,1.1,3.5,0.6,6.6,2.4,15,0.4,1.4,1.2,-0.2,2.4,0.9,1.3,1.7,4.9,11.4,7.5,3666,4710,22.0
Bulgaria,19.7,12.7,13.6,3.4,1.3,5.7,0.5,6.1,1.8,15.5,0.3,1.2,1.1,-0.2,2,0.6,3,1.2,8,14,8.2,9265,9724,17.0
Croatia,18,15.4,8.6,5,1,5.1,1,9.8,1.7,23.1,0.7,1.3,2.1,-0.3,1,1.4,1,1.3,5.3,8.9,6.5,3024,3134,13.6
Czech_Republic,16.8,23.3,7.9,7.8,1.9,5.6,0.9,8.8,4.2,16.7,0.6,1.7,2.1,-0.1,0.5,1.2,0.2,0.5,5.4,5,6,6263,6572,15.7
Hungary,16.5,16.1,8.2,7.4,1.4,4.9,0.7,8.8,3,21.8,0.8,1.4,2.2,-0.2,0.9,0.8,0.5,0.6,6.8,7.7,6.2,7200,7529,15.6
Budapest,19.5,14.8,7.4,7.4,1.4,4.9,0.7,8.3,3.2,25.6,0.8,1.5,2.2,-0.1,0.8,0.8,0.4,0.5,6.3,7.1,5.9,-,-,14.8
Macedonia,31.6,13.2,18.4,2.4,1,4,0.4,4.6,1.4,12.7,0.3,2.1,0.8,-0.2,2.7,0.7,1.9,1.6,8.6,15.1,8,2845,3380,20.8
Montenegro,21.6,10.5,14.5,2.6,0.8,3,0.5,5,1.6,12.9,0.3,1.6,0.9,-0.2,3.6,0.9,2.7,3.8,6.5,20.4,8.2,599,652,17.1
Poland,22.7,24.6,8,6.9,2.1,4.8,0.8,8.5,5.7,12.2,0.5,1.7,3,-0.1,0.9,1.5,0.2,0.4,7,4.5,6.5,27725,31196,14.9
Warsaw,24.3,24.7,7.4,5.3,2.5,4.6,0.7,8.8,7.1,12.4,0.5,1.8,3.5,0,1,1.3,0.2,0.4,7.4,4.1,6.3,-,-,12.7
Romania,15.9,12.8,11.2,4.8,1.4,4.9,0.6,6.8,1.8,21.7,0.5,0.9,1.4,-0.2,1.8,0.6,2,0.7,8.1,11.3,6.8,14936,14974,16.0
Serbia,26.5,10.9,19.7,3.1,1.1,3.7,0.4,5,2.5,16.4,0.4,1.9,1,-0.1,3.9,0.5,2,1.1,6.2,12.6,7.7,10974,12615,22.8
Belgrade,25.7,10.6,26.3,3.2,1.3,3.9,0.3,4.5,2.7,15.4,0.4,1.3,0.9,-0.1,3.7,0.4,2.4,0.6,5.1,9,8,-,-,29.5
Slovakia,18.4,20.1,7.7,7.8,2,5.2,0.7,8.3,3.8,16.4,0.7,1.6,2.3,-0.2,0.8,0.8,0.4,0.7,7.6,7.1,6.4,3420,3586,15.5
Slovenia,16.9,17.4,5,6,0.9,6.6,1.2,12.6,0.9,22,0.9,1.3,2.5,-0.3,0.5,1.5,0.4,1.4,5.2,8,6,808,857,11
Eastern_Europe,11.8,11.5,7.4,8.8,1.3,5.5,0.6,6,1.4,8.4,0.6,1.4,1.3,-0.2,3.2,0.6,2.3,3.2,14.6,12.7,9.6,123227,117852,16.2
Belarus,16.3,21.2,6.7,10.7,2.7,4.4,1.1,8.3,3.2,8.2,0.6,1.8,2.7,-0.3,1.5,1,0.7,0.7,9.9,6.7,8.3,8681,8560,17.4
Gomel,20.9,19.2,8,8.4,2.3,5,1,7.8,2.6,7.4,0.6,1.6,2.3,-0.4,1.9,0.8,1.4,1.1,11.5,8.5,9,-,-,16.4
Estonia,5.7,12.5,2.9,14.2,0.8,6.7,0.8,5.7,1.6,16.8,0.1,1.5,2.1,-0.2,1.1,1.7,0.2,0.7,11.3,9.3,10.3,136,98,17.1
Latvia,11.7,15.3,3.8,12.9,1,5.4,1.1,7.1,2.1,17.1,0.5,2.5,2.4,-0.3,1.7,1.7,0.3,0.6,8.1,7.8,8.9,1100,1023,16.7
Lithuania,10.2,18.8,4.7,17.6,1.3,4.1,1.1,8,2.7,12.3,0.5,1.6,2.1,-0.3,1.4,1.6,0.4,0.5,7.5,5.8,8.4,1274,1168,22.3
Kaunas,12,17.3,4.6,24.5,1.3,3.7,0.9,7.5,2.7,11.7,0.4,1.5,1.9,-0.2,1.4,1.3,0.4,0.4,6.9,4.7,7.1,-,-,29.1
Moldova,13.1,14.2,9.8,5.6,1.6,3.9,0.7,7.3,2.3,16.3,0.5,1.1,1.7,-0.4,2.8,0.7,2.7,0.8,11.8,9.4,7.2,2074,2024,15.4
Russian_Federation,10.9,9,6.2,8.7,1,6.2,0.5,5.4,0.8,7.9,0.6,1.4,0.9,-0.1,3.6,0.4,2.1,4.5,15.9,14.5,10.4,68482,64298,14.9
Saint_Petersburg,8.2,9.2,3.3,13.8,0.8,9.3,0.8,6.6,0.9,14.5,1,2.6,1.6,0,4.2,0.7,0.2,0.6,15.5,6.9,7.5,-,-,17.1
Astrakhan,12.1,4.4,5.6,5,0.8,3.2,0.2,3,0.4,2.9,0.2,0.5,0.4,-0.1,1.5,0.1,1.5,3.2,7.2,55.3,4.7,-,-,10.6
Moscow,13.8,7.8,5.2,12.2,0.4,9.6,0.3,4.6,0.6,15.3,1.4,3,1.3,0.1,4,0.4,0.4,0.4,18.8,5.8,8.3,-,-,17.4
Tyumen,13.4,9.9,4.7,8.7,0.9,7.2,0.3,6.1,0.3,5.3,0.8,1,0.5,-0.1,5,0.1,1.5,5.8,19.3,9.5,13.2,-,-,13.4
Berezniki,13.9,9.6,5.4,9.1,0.6,6.1,0.3,5.5,0.3,6.2,0.8,1.1,0.6,-0.1,3.5,0.1,0.9,4.7,17.4,13.7,14.1,-,-,14.5
Dzerzhinsk,11.6,10.7,5.5,7.5,0.5,4.9,0.7,7.3,0.8,10.7,1,1.9,1.4,-0.2,4.2,0.9,1,0.9,17.5,11,11.7,-,-,13.0
Ukraine,14,14.8,10.5,8,1.7,4,0.6,6.6,2.2,8.4,0.6,1,1.7,-0.3,2.8,0.7,3.3,0.8,13.5,10.7,8.4,41480,40682,18.5
Nikolaev,14.2,13.5,10.8,8.3,1.6,3.9,0.8,5.9,1.6,7.8,0.5,0.9,1.4,-0.3,3,1,4.9,0.8,13,12.1,8.7,-,-,19.1
Rovno,19.9,19.5,8.4,5.8,2.1,4.2,0.7,8.6,3.8,9.5,0.6,1.4,2.3,-0.4,2.2,0.8,1.1,0.6,12.6,8.6,7.6,-,-,14.2
Australasia,6.9,9.3,7,1.1,1.2,6.2,0.4,4.3,0,2.5,0.1,0.3,0.9,0,0.4,3.2,1.1,10.8,2.6,15.1,33.6,2147,2090,8.1
Australia,7,8.8,8.1,1.1,1,6.6,0.4,4,0,2.7,0.1,0.2,0.8,0,0.4,3,1.3,12.1,2.9,16.6,30,1802,1757,9.2
Sydney,7.6,12.6,14.4,1.6,1,7.6,0.3,3.7,0,3.3,0.1,0.3,0.9,0,0.7,1.7,0.5,9.1,2.4,15.3,24.5,-,-,16.0
New_Zealand,6.6,12.5,0.7,1,2.9,3.8,0.3,6.5,0.1,1.6,0,0.4,1.4,-0.1,0.3,4.2,0.2,2.9,1,5.8,54.5,346,333,1.7
